ticket,time,time_msc,time_update,time_update_msc,type,magic,identifier,reason,volume,price_open,sl,tp,price_current,swap,profit,symbol,comment,external_id
5215395609,2024-09-18 17:56:26,1726682186172,1726682186,1726682186172,0,0,5215395609,3,0.5,6686.565,6595.212,0.0,6688.744,0.0,1.09,Volatility 10 Index,11.1308717727661,
5215413619,2024-09-18 18:07:02,1726682822205,1726682822,1726682822205,0,0,5215413619,3,0.5,6688.816,6595.212,0.0,6691.726,0.0,1.46,Volatility 10 Index,11.7139091491699,
5215419565,2024-09-18 18:11:52,1726683112183,1726683112,1726683112183,0,0,5215419565,3,0.5,6691.759,6595.212,0.0,6694.225,0.0,1.23,Volatility 10 Index,16.1289577484130,
5215431595,2024-09-18 18:22:16,1726683736172,1726683736,1726683736172,0,0,5215431595,3,0.5,6694.383,6595.212,0.0,6692.713,0.0,-0.84,Volatility 10 Index,17.2343158721923,
5215435880,2024-09-18 18:27:06,1726684026178,1726684026,1726684026178,0,0,5215435880,3,0.5,6692.647,6595.212,0.0,6690.19,0.0,-1.23,Volatility 10 Index,17.1567420959472,
5215446370,2024-09-18 18:37:32,1726684652187,1726684652,1726684652187,0,0,5215446370,3,0.5,6690.152,6595.212,0.0,6688.918,0.0,-0.62,Volatility 10 Index,13.4275903701782,
5215451600,2024-09-18 18:42:20,1726684940196,1726684940,1726684940196,0,0,5215451600,3,0.5,6689.024,6595.212,0.0,6689.875,0.0,0.43,Volatility 10 Index,13.1843595504760,
5215462518,2024-09-18 18:52:46,1726685566213,1726685566,1726685566213,0,0,5215462518,3,0.5,6690.56,6595.212,0.0,6689.074,0.0,-0.74,Volatility 10 Index,12.9457511901855,
5215466521,2024-09-18 18:57:34,1726685854210,1726685854,1726685854210,0,0,5215466521,3,0.5,6689.651,6595.212,0.0,6693.327,0.0,1.8399999999999999,Volatility 10 Index,13.7263164520263,
5216322885,2024-09-19 16:42:38,1726764158184,1726764158,1726764158184,1,0,5216322885,3,0.5,6698.65,6728.926,0.0,6695.034,0.0,1.81,Volatility 10 Index,-3.3382089138031,
5216333691,2024-09-19 16:57:48,1726765068171,1726765068,1726765068171,1,0,5216333691,3,0.5,6694.787,6728.926,0.0,6693.422,0.0,0.68,Volatility 10 Index,-7.7006559371948,
5216344682,2024-09-19 17:12:58,1726765978170,1726765978,1726765978170,1,0,5216344682,3,0.5,6693.514,6728.926,0.0,6696.321,0.0,-1.4,Volatility 10 Index,-9.0935440063476,
5216354904,2024-09-19 17:28:08,1726766888168,1726766888,1726766888168,1,0,5216354904,3,0.5,6696.568,6728.926,0.0,6689.79,0.0,3.39,Volatility 10 Index,-6.6229591369628,
5216366625,2024-09-19 17:43:20,1726767800175,1726767800,1726767800175,1,0,5216366625,3,0.5,6688.825,6728.926,0.0,6689.357,0.0,-0.27,Volatility 10 Index,-12.775220870971,
5216378499,2024-09-19 17:58:32,1726768712172,1726768712,1726768712172,1,0,5216378499,3,0.5,6689.088,6728.926,0.0,6693.376,0.0,-2.14,Volatility 10 Index,-13.087339401245,
